,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
94,603357.SH,20210423,9.25,1894.1123,2.11,11.5751,-165.19,-0.0872123580001038,17.96,11.84
95,603357.SH,20210421,9.4,1577.4302,2.06,11.7628,-40.629999999999995,-0.025757082627174244,17.96,11.84
96,603357.SH,20210330,9.54,6533.2204,1.07,11.938,819.1199999999999,0.12537767744679176,17.96,11.84
97,603357.SH,20210322,9.11,1885.9036,0.92,12.7494,335.85,0.1780843941334011,11.44,2.17
98,603357.SH,20210318,9.02,1697.8154,0.87,12.6235,116.31,0.06850568088851121,11.44,2.17
99,603357.SH,20210317,9.03,1835.1575,0.85,12.6375,-113.03000000000002,-0.06159144378616005,11.44,2.17
100,603357.SH,20210310,8.76,2197.5719,0.81,12.2596,11.45999999999998,0.00521484644029166,11.44,2.17
101,603357.SH,20210309,8.92,3260.7799999999997,0.86,12.4835,-400.18999999999994,-0.12272830427075729,11.44,2.17
102,603357.SH,20210304,8.95,3010.8613,0.87,12.5255,-51.03000000000003,-0.01694863858391618,11.44,2.17
103,603357.SH,20210226,8.870000000000001,2183.5461999999998,1.02,12.4136,-232.23,-0.10635451633677365,11.44,2.17
104,603357.SH,20210225,8.84,2516.7653,0.97,12.3716,-97.66,-0.038803777213552645,11.44,2.17
105,603357.SH,20210224,8.8,2010.5882000000001,1.03,12.3156,-176.59000000000003,-0.08783001909590438,11.44,2.17
106,603357.SH,20210223,8.72,1974.1024000000002,0.99,12.2036,-145.57,-0.07373984247220407,11.44,2.17
107,603357.SH,20210218,8.61,1541.7392,0.93,12.0497,-44.75,-0.029025661408881607,11.44,2.17
108,603357.SH,20210210,8.5,1093.6682,0.88,11.8957,-16.640000000000015,-0.015214852182773545,11.44,2.17
109,603357.SH,20210209,8.459999999999999,1322.7256,0.89,11.8398,7.269999999999996,0.005496226881826432,11.44,2.17
110,603357.SH,20210204,8.389999999999999,2315.9674999999997,0.91,11.7418,-63.79999999999998,-0.027547882256551522,11.44,2.17
111,603357.SH,20210203,8.62,1654.6848000000002,0.95,12.0637,-38.410000000000025,-0.02321288018116805,11.44,2.17
112,603357.SH,20210128,8.94,1043.3358,1.18,12.5115,3.5700000000000216,0.003421717149933915,11.44,2.17
113,603357.SH,20210120,9.19,1968.0625,1.06,12.8614,-401.44,-0.20397726190098128,11.44,2.17
114,603357.SH,20210115,9.14,2767.3297,0.96,12.7914,-156.25,-0.05646237237290519,11.44,2.17
115,603357.SH,20210108,9.06,1614.842,0.8,12.6795,-153.35000000000002,-0.09496285085475856,11.44,2.17
116,603357.SH,20210107,9.02,2416.7637999999997,0.77,12.6235,-285.95,-0.11831938230786146,11.44,2.17
117,603357.SH,20210106,9.34,1992.6239,0.76,13.0713,-84.98000000000002,-0.04264728532062675,11.44,2.17
118,603357.SH,20210105,9.28,1492.7002,0.68,12.9874,85.81,0.05748642627635476,11.44,2.17
119,603357.SH,20201230,9.16,1077.5731,0.61,12.8194,-47.75,-0.04431253898227415,11.44,2.17
120,603357.SH,20201228,9.08,1404.8116,0.59,12.7075,-231.93,-0.16509687135271378,11.44,2.17
121,603357.SH,20201224,9.17,2054.7277999999997,0.55,12.8334,-515.42,-0.25084587846623774,11.44,2.17
122,603357.SH,20201217,9.75,1848.5670999999998,0.64,13.6451,-240.76,-0.13024141779868312,11.44,2.17
123,603357.SH,20201207,10.08,2038.2427,0.67,14.107,-232.27,-0.11395600729981764,11.44,2.17
124,603357.SH,20201204,10.23,2342.805,0.67,14.3169,-154.34000000000003,-0.06587829546206365,11.44,2.17
125,603357.SH,20201202,10.28,2703.6465,0.72,14.3869,20.66999999999996,0.007645230247371452,11.44,2.17
126,603357.SH,20201126,10.04,1415.9073,0.7,14.051,-185.95000000000002,-0.13132921908093842,11.44,2.17
127,603357.SH,20201125,10.08,2521.7017,0.7,14.107,11.579999999999984,0.004592137127083661,11.44,2.17
128,603357.SH,20201123,10.28,3059.4221000000002,0.77,14.3869,-347.2,-0.11348548472602063,11.44,2.17
129,603357.SH,20201119,10.23,1980.9861,0.83,14.3169,-77.95,-0.03934908982955509,11.44,2.17
130,603357.SH,20201113,10.05,1413.8437,0.84,14.065,-124.68999999999998,-0.08819220964806788,11.44,2.17
131,603357.SH,20201106,10.09,1795.6455,0.96,14.1209,-308.25,-0.17166528693998898,11.44,2.17
132,603357.SH,20201104,10.01,1025.8889,0.92,14.009,-45.81999999999999,-0.0446637057872446,11.44,2.17
133,603357.SH,20201102,9.92,1558.0843,0.93,13.883,-42.660000000000004,-0.02737977656279574,11.44,2.17
134,603357.SH,20201023,10.18,1489.1131,0.95,14.2469,-127.52000000000001,-0.08563486547798149,6.35,-9.02
135,603357.SH,20201020,10.23,1090.2676999999999,1.01,14.3169,-86.1,-0.0789714305945228,6.35,-9.02
136,603357.SH,20201019,10.19,1108.0898,1.02,14.2609,9.64,0.00869965593041286,6.35,-9.02
137,603357.SH,20201015,10.22,1428.2658,1.04,14.3029,-224.10000000000002,-0.1569035679493271,6.35,-9.02
138,603357.SH,20201009,10.27,1602.2087999999999,0.94,14.3729,-12.939999999999998,-0.00807635059799946,6.35,-9.02
139,603357.SH,20200921,10.45,1720.8429,0.93,14.6248,-17.099999999999966,-0.009936990761910902,6.35,-9.02
140,603357.SH,20200917,10.22,1680.6005,0.89,14.3029,-212.94,-0.12670471060790472,6.35,-9.02
141,603357.SH,20200916,10.2,1887.5847,0.89,14.2749,-363.29999999999995,-0.1924681843416086,6.35,-9.02
142,603357.SH,20200909,10.45,5125.7414,0.88,14.6248,-468.60999999999996,-0.09142287201613408,6.35,-9.02
143,603357.SH,20200907,10.62,4293.9384,1.0,14.8627,-284.71000000000004,-0.06630509650534344,6.35,-9.02
144,603357.SH,20200903,10.99,4706.2970000000005,1.18,15.3805,252.41000000000003,0.05363239931521534,6.35,-9.02
145,603357.SH,20200902,11.04,4233.3284,1.18,15.4505,-556.02,-0.13134346014828424,6.35,-9.02
146,603357.SH,20200901,11.06,3863.1446000000005,1.17,15.4785,-92.72,-0.024001172516296694,6.35,-9.02
147,603357.SH,20200825,11.06,5658.4184000000005,1.2,15.4785,-1518.7399999999998,-0.2684036231749847,-13.31,-17.95
148,603357.SH,20200818,11.18,7209.6314,1.31,15.6464,90.98000000000002,0.012619230436662824,-13.31,-17.95
149,603357.SH,20200814,10.83,3272.063,1.0,15.1566,-112.38,-0.034345304476105745,-13.31,-17.95
150,603357.SH,20200806,10.98,7654.5288,0.83,15.3665,83.12999999999998,0.01086023740612224,-13.31,-17.95
151,603357.SH,20200805,10.78,3772.9222,0.8,15.0866,-244.95999999999992,-0.06492580207458291,-13.31,-17.95
152,603357.SH,20200728,10.33,2729.1524,1.25,14.4568,52.110000000000014,0.0190938402707009,-13.31,-17.95
153,603357.SH,20200721,10.93,5547.3965,1.35,15.2965,-1040.86,-0.18763035957498259,-13.31,-17.95
154,603357.SH,20200714,11.17,12863.2417,1.12,15.6324,-1280.46,-0.09954411414037256,-13.31,-17.95
155,603357.SH,20200713,11.43,15530.8656,1.08,15.9963,-755.0699999999998,-0.04861738034742892,-13.31,-17.95
156,603357.SH,20200709,11.15,10320.7199,1.02,15.6044,355.43999999999994,0.034439458045945025,-13.31,-17.95
157,603357.SH,20200702,10.24,5328.7110999999995,0.87,14.3309,434.28999999999996,0.08150000851050078,-13.31,-17.95
